City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,Morondava,-20.2833,44.2833,76.89,81,0,10.74,MG,2021-10-03 19:24:04
371,Yulara,-25.2406,130.9889,53.44,40,0,8.05,AU,2021-10-03 19:27:51
372,Tulun,54.5611,100.5792,30.97,93,88,1.63,RU,2021-10-03 19:27:52
373,Umm Lajj,25.0213,37.2685,81.81,63,5,10.4,SA,2021-10-03 19:27:52
374,Sisimiut,66.9395,-53.6735,37.33,72,15,3.71,GL,2021-10-03 19:27:52
375,Tyrma,50.0833,132.1667,31.46,94,9,1.9,RU,2021-10-03 19:27:53
376,Vila Franca Do Campo,37.7167,-25.4333,74.19,83,99,4.23,PT,2021-10-03 19:24:34
377,Port Hedland,-20.3167,118.5667,59.05,72,5,6.91,AU,2021-10-03 19:27:53
378,Ipilan,8.8431,117.9033,77.81,89,100,4.79,PH,2021-10-03 19:27:53
379,General Cepeda,25.3833,-101.45,80.01,78,100,2.93,MX,2021-10-03 19:27:54
380,Suluq,31.6682,20.2521,73.89,52,0,10.71,LY,2021-10-03 19:27:54
381,Cartagena Del Chaira,1.3349,-74.8429,89.62,55,53,5.03,CO,2021-10-03 19:27:54
382,Jacareacanga,-6.2222,-57.7528,97.45,31,99,4.83,BR,2021-10-03 19:27:55
383,Sechura,-5.5569,-80.8222,77.88,53,21,14.41,PE,2021-10-03 19:27:55
384,Brae,60.3964,-1.353,49.91,87,100,34.07,GB,2021-10-03 19:27:55
385,Mount Gambier,-37.8333,140.7667,49.91,93,75,10.36,AU,2021-10-03 19:27:56
386,Lisala,2.15,21.5167,76.46,69,99,1.66,CD,2021-10-03 19:27:56
387,Garissa,-0.4536,39.6401,79.43,64,96,19.28,KE,2021-10-03 19:27:57
388,Leona Vicario,20.9667,-87.1917,87.75,52,100,6.55,MX,2021-10-03 19:27:57
389,Broome,42.2506,-75.833,66.56,80,90,1.99,US,2021-10-03 19:27:57
390,Bapatla,15.9,80.4667,80.15,81,3,5.01,IN,2021-10-03 19:27:58
391,Tarakan,3.3,117.6333,78.76,85,100,6.58,ID,2021-10-03 19:27:58
392,Ayan,56.45,138.1667,39.27,62,82,14.63,RU,2021-10-03 19:27:58
393,Husavik,66.0449,-17.3389,44.51,99,100,17.38,IS,2021-10-03 19:27:59
394,Hay River,60.8156,-115.7999,51.78,37,75,11.5,CA,2021-10-03 19:25:16
395,Buta,2.7858,24.73,73.72,83,88,2.57,CD,2021-10-03 19:27:59
396,Marystown,47.1666,-55.1483,59.86,100,24,5.01,CA,2021-10-03 19:28:00
397,Vao,-22.6667,167.4833,71.65,90,0,2.84,NC,2021-10-03 19:28:00
398,Chara,56.9064,118.2631,28.45,71,39,2.19,RU,2021-10-03 19:28:00
399,Keti Bandar,24.1447,67.4497,82.35,83,7,15.88,PK,2021-10-03 19:28:01
400,San Carlos De Bariloche,-41.1456,-71.3082,47.95,46,40,24.16,AR,2021-10-03 19:25:09
401,Le Vauclin,14.5452,-60.8388,87.93,66,75,20.71,MQ,2021-10-03 19:28:01
402,Sept-Iles,50.2001,-66.3821,55.92,75,20,5.99,CA,2021-10-03 19:28:01
403,Eston,51.1501,-108.7514,73.29,21,3,13.18,CA,2021-10-03 19:28:02
404,Iqaluit,63.7506,-68.5145,44.33,65,75,2.3,CA,2021-10-03 19:28:02
405,Isparta,38.0,31.0,54.36,57,0,8.43,TR,2021-10-03 19:28:02
406,Auki,-8.7676,160.7034,76.28,88,19,3.18,SB,2021-10-03 19:28:03
407,Victoria,22.2855,114.1577,85.32,78,86,1.01,HK,2021-10-03 19:23:42
408,Luena,-11.7833,19.9167,68.34,58,37,3.83,AO,2021-10-03 19:28:04
409,Alugan,12.2188,125.4808,80.89,86,100,15.52,PH,2021-10-03 19:28:04
410,Warrington,53.3925,-2.5802,54.86,85,10,1.99,GB,2021-10-03 19:28:04
411,Yerbogachen,61.2767,108.0108,33.78,84,100,4.63,RU,2021-10-03 19:28:05
412,Sangar,63.9242,127.4739,27.39,84,21,5.7,RU,2021-10-03 19:28:05
413,Ca Mau,9.1769,105.15,76.26,91,100,3.24,VN,2021-10-03 19:23:58
414,Maniitsoq,65.4167,-52.9,40.1,71,95,3.18,GL,2021-10-03 19:28:06
415,Hami,42.8,93.45,48.45,33,0,6.17,CN,2021-10-03 19:28:06
416,Kathu,7.9178,98.3332,85.69,88,98,8.66,TH,2021-10-03 19:28:06
417,Lensk,60.7253,114.9278,29.5,89,100,3.89,RU,2021-10-03 19:28:07
418,Jumla,29.2747,82.1838,56.43,90,74,2.75,NP,2021-10-03 19:28:07
419,Chimbote,-9.0853,-78.5783,67.77,73,89,12.53,PE,2021-10-03 19:28:05
420,Betul,21.9153,77.8961,72.99,93,73,3.0,IN,2021-10-03 19:28:07
421,Saint-Pierre,-21.3393,55.4781,73.08,68,90,2.3,RE,2021-10-03 19:28:08
422,Sao Filipe,14.8961,-24.4956,80.38,76,100,7.02,CV,2021-10-03 19:28:08
423,Nouakchott,18.0858,-15.9785,84.13,75,1,13.27,MR,2021-10-03 19:28:08
424,Dumai,1.6833,101.45,73.65,96,98,2.39,ID,2021-10-03 19:28:09
425,Vilhena,-12.7406,-60.1458,91.62,43,40,10.36,BR,2021-10-03 19:25:27
426,Kavaratti,10.5669,72.642,81.63,79,100,10.67,IN,2021-10-03 19:28:09
427,Sexsmith,55.35,-118.786,49.59,29,20,33.38,CA,2021-10-03 19:28:10
428,Cayenne,4.9333,-52.3333,89.64,70,20,5.99,GF,2021-10-03 19:28:10
429,Porto Novo,6.4965,2.6036,82.22,85,9,5.82,BJ,2021-10-03 19:28:11
430,Noumea,-22.2763,166.4572,69.78,91,1,1.97,NC,2021-10-03 19:28:11
431,Sebinkarahisar,40.2883,38.4236,46.89,83,53,4.25,TR,2021-10-03 19:28:11
432,Timizart,36.8,4.2667,70.02,75,3,1.81,DZ,2021-10-03 19:28:12
433,Ailigandi,9.2333,-78.0167,83.95,77,100,9.55,PA,2021-10-03 19:28:12
434,Nuuk,64.1835,-51.7216,40.95,70,14,8.37,GL,2021-10-03 19:28:12
435,Adeje,28.1227,-16.726,73.02,65,20,4.0,ES,2021-10-03 19:28:13
436,Chipinge,-20.1883,32.6236,65.89,86,95,4.47,ZW,2021-10-03 19:28:14
437,Jardim,-21.4803,-56.1381,96.51,32,8,13.78,BR,2021-10-03 19:28:15
438,Poum,-20.2333,164.0167,74.19,87,0,14.94,NC,2021-10-03 19:28:15
439,Taitung,22.7583,121.1444,78.1,63,13,7.63,TW,2021-10-03 19:28:15
440,Puerto Del Rosario,28.5004,-13.8627,73.15,78,20,18.41,ES,2021-10-03 19:28:16
441,Watsa,3.0372,29.5355,64.42,97,90,1.74,CD,2021-10-03 19:28:16
442,Chute-Aux-Outardes,49.1168,-68.399,51.78,76,40,6.91,CA,2021-10-03 19:28:16
443,Flinders,-34.5833,150.8552,62.8,81,96,1.01,AU,2021-10-03 19:23:28
444,Kemijarvi,66.7131,27.4306,46.92,79,100,12.08,FI,2021-10-03 19:28:17
445,Tukrah,32.5341,20.5791,71.37,66,0,13.49,LY,2021-10-03 19:28:17
446,Rocha,-34.4833,-54.3333,56.7,54,16,14.76,UY,2021-10-03 19:28:18
447,Burnie,-41.0667,145.9167,54.91,97,100,3.65,AU,2021-10-03 19:28:18
448,Bonthe,7.5264,-12.505,78.08,85,100,5.59,SL,2021-10-03 19:28:19
449,Arona,28.0996,-16.681,68.83,67,20,4.0,ES,2021-10-03 19:28:00
450,Seymchan,62.8833,152.4333,27.88,75,100,12.62,RU,2021-10-03 19:28:19
451,Iracoubo,5.4802,-53.2011,85.19,67,18,10.85,GF,2021-10-03 19:28:20
452,Krasnyy Chikoy,50.3643,108.7512,30.36,97,91,2.68,RU,2021-10-03 19:28:20
453,Niksar,40.5917,36.9517,54.63,87,80,2.75,TR,2021-10-03 19:28:20
454,Quzhou,28.9594,118.8686,67.84,80,0,4.34,CN,2021-10-03 19:28:21
455,Nara,34.6851,135.8049,68.5,72,2,3.0,JP,2021-10-03 19:28:21
456,Atambua,-9.1061,124.8925,71.78,77,6,2.13,ID,2021-10-03 19:28:21
457,Edd,13.9297,41.6925,87.26,74,100,10.16,ER,2021-10-03 19:28:22
458,Hanzhong,33.0728,107.0303,63.48,80,100,9.13,CN,2021-10-03 19:28:22
459,Along,28.1667,94.7667,71.22,97,100,0.43,IN,2021-10-03 19:28:22
460,Mahudha,22.8167,72.9333,82.58,70,62,3.4,IN,2021-10-03 19:28:23
461,Vathi,38.4,23.6,66.52,66,57,5.03,GR,2021-10-03 19:28:23
462,Nantucket,41.2835,-70.0995,71.74,78,20,11.5,US,2021-10-03 19:28:23
463,Mokhsogollokh,61.4681,128.9203,24.89,88,13,4.18,RU,2021-10-03 19:28:24
464,Puerto Colombia,10.9878,-74.9547,89.69,74,100,11.63,CO,2021-10-03 19:28:24
465,Itarema,-2.9248,-39.9167,83.8,67,0,20.36,BR,2021-10-03 19:28:24
466,Hervey Bay,-25.2986,152.8535,73.04,94,9,14.5,AU,2021-10-03 19:28:24
467,Gamba,-2.65,10.0,76.42,82,100,6.87,GA,2021-10-03 19:28:25
468,Geraldton,-28.7667,114.6,48.61,93,40,3.44,AU,2021-10-03 19:28:25
469,Lavrentiya,65.5833,-171.0,23.27,71,16,3.83,RU,2021-10-03 19:23:34
470,Chuy,-33.6971,-53.4616,61.56,55,26,12.21,UY,2021-10-03 19:28:26
471,Ballina,-28.8667,153.5667,59.77,94,32,3.44,AU,2021-10-03 19:28:26
472,Shanghai,31.2222,121.4581,76.87,81,0,15.66,CN,2021-10-03 19:24:34
473,Qasigiannguit,68.8193,-51.1922,30.45,71,100,1.81,GL,2021-10-03 19:28:27
474,Nurota,40.5614,65.6886,50.09,42,0,9.64,UZ,2021-10-03 19:28:27
475,Tura,25.5198,90.2201,71.78,98,99,4.03,IN,2021-10-03 19:28:27
476,Chulman,56.8479,124.9104,19.11,98,50,2.77,RU,2021-10-03 19:28:28
477,Picota,-6.9197,-76.3304,97.29,41,37,1.5,PE,2021-10-03 19:28:28
478,Boguchany,58.3814,97.4531,27.7,96,64,3.89,RU,2021-10-03 19:28:28
479,Kuusamo,65.9667,29.1833,46.44,76,0,12.66,FI,2021-10-03 19:28:29
480,Ascension,30.2169,-90.9001,89.08,66,75,5.75,US,2021-10-03 19:28:29
481,Chinhoyi,-17.3667,30.2,76.06,43,77,6.4,ZW,2021-10-03 19:28:29
482,Lukulu,-14.3707,23.242,73.4,53,53,5.3,ZM,2021-10-03 19:28:30
483,Sinnamary,5.3833,-52.95,85.86,64,35,11.39,GF,2021-10-03 19:28:30
484,Fairview,40.8126,-73.999,82.54,52,75,1.99,US,2021-10-03 19:28:30
485,Erie,42.7667,-78.6664,68.54,92,100,6.87,US,2021-10-03 19:28:04
486,Mezen,65.8522,44.24,44.19,90,100,5.37,RU,2021-10-03 19:28:31
487,Khash,28.2211,61.2158,65.68,23,5,5.93,IR,2021-10-03 19:28:31
488,Kalmar,56.6616,16.3616,60.73,80,0,12.66,SE,2021-10-03 19:28:32
489,Yauya,-8.9833,-77.3,62.94,44,77,6.24,PE,2021-10-03 19:28:32
490,Miandrivazo,-19.5167,45.4667,80.1,59,0,8.19,MG,2021-10-03 19:28:32
491,Churapcha,62.0025,132.4325,25.18,93,9,5.55,RU,2021-10-03 19:28:33
492,Henderson,36.0397,-114.9819,89.76,17,1,12.66,US,2021-10-03 19:28:33
493,Birao,10.2849,22.7882,76.82,71,83,1.28,CF,2021-10-03 19:28:33
494,Nevesinje,43.2586,18.1133,54.46,75,0,3.47,BA,2021-10-03 19:28:34
495,Lakes Entrance,-37.8811,147.981,56.57,90,100,3.31,AU,2021-10-03 19:28:34
496,Berlevag,70.8578,29.0864,51.75,62,0,32.21,NO,2021-10-03 19:28:34
497,Inuvik,68.3499,-133.7218,34.56,97,75,16.11,CA,2021-10-03 19:28:35
498,Tabou,4.423,-7.3528,78.42,88,100,6.24,CI,2021-10-03 19:28:35
499,Massakory,12.996,15.7293,90.21,26,78,7.87,TD,2021-10-03 19:28:36
500,Praia,14.9215,-23.5087,80.6,76,85,8.99,CV,2021-10-03 19:28:36
501,Paredon,16.0333,-93.8667,88.52,64,49,9.64,MX,2021-10-03 19:28:36
502,Joetsu,37.1483,138.2364,64.72,64,0,11.41,JP,2021-10-03 19:28:37
503,Koslan,63.4564,48.8989,41.47,92,100,3.44,RU,2021-10-03 19:28:37
504,Talaya,61.3833,152.75,23.22,95,100,6.91,RU,2021-10-03 19:28:38
505,Kermanshah,34.3142,47.065,70.7,14,0,9.22,IR,2021-10-03 19:28:38
506,Kayerkan,69.3497,87.7602,21.06,96,99,2.55,RU,2021-10-03 19:28:38
507,Kindu,-2.95,25.95,68.68,99,100,1.59,CD,2021-10-03 19:28:39
508,Sioux Lookout,50.1001,-91.917,60.87,67,75,3.44,CA,2021-10-03 19:28:39
509,Hamilton,39.1834,-84.5333,72.25,96,100,1.99,US,2021-10-03 19:26:37
510,Jutai,-5.1833,-68.9,86.92,64,100,0.51,BR,2021-10-03 19:28:40
511,Roebourne,-20.7833,117.1333,69.69,63,0,9.26,AU,2021-10-03 19:28:40
512,Rosetta,31.4044,30.4164,72.9,70,0,11.99,EG,2021-10-03 19:28:40
513,Orange Cove,36.6244,-119.3137,91.45,25,1,0.0,US,2021-10-03 19:28:41
514,Fare,-16.7,-151.0167,78.28,73,7,10.94,PF,2021-10-03 19:28:41
515,Hereford,52.0568,-2.7148,55.11,65,4,11.03,GB,2021-10-03 19:28:41
516,Kirakira,-10.4544,161.9205,78.55,85,63,2.24,SB,2021-10-03 19:25:09
517,Moa,20.6569,-74.9403,85.66,67,87,9.44,CU,2021-10-03 19:28:42
518,Vila,42.0304,-8.1588,50.94,81,4,2.46,PT,2021-10-03 19:28:42
519,Axim,4.8699,-2.2405,77.86,88,99,6.93,GH,2021-10-03 19:28:42
520,Boaco,12.4722,-85.6586,88.02,59,20,9.91,NI,2021-10-03 19:28:43
521,Nazilli,37.9163,28.3223,63.05,41,0,4.16,TR,2021-10-03 19:23:45
522,Bundaberg,-24.85,152.35,73.22,93,9,1.99,AU,2021-10-03 19:28:43
523,Taganak,6.0833,118.3,75.34,77,100,2.86,PH,2021-10-03 19:28:44
524,Nalut,30.3333,10.85,80.28,27,0,8.66,LY,2021-10-03 19:28:44
525,Xacmaz,41.4635,48.806,59.11,76,100,3.47,AZ,2021-10-03 19:28:44
526,Ziniare,12.5822,-1.2983,87.84,33,0,2.77,BF,2021-10-03 19:28:45
527,Bathurst,-33.4166,149.5806,45.97,96,0,3.38,AU,2021-10-03 19:28:09
528,Gravdal,68.1214,13.5031,55.08,71,75,17.27,NO,2021-10-03 19:28:45
529,Beringovskiy,63.05,179.3167,38.55,99,100,4.23,RU,2021-10-03 19:28:46
530,Iralaya,15.0,-83.2333,87.89,78,29,8.32,HN,2021-10-03 19:28:46
531,Mantua,45.1667,10.7833,72.28,81,88,7.0,IT,2021-10-03 19:28:46
532,Laela,-8.5667,32.05,71.55,46,100,3.89,TZ,2021-10-03 19:28:47
533,Bissau,11.8636,-15.5977,82.51,83,40,2.3,GW,2021-10-03 19:25:06
534,Mwanza,-2.5167,32.9,74.08,66,99,8.39,TZ,2021-10-03 19:28:47
535,Belyy Yar,53.6039,91.3903,28.29,86,34,2.24,RU,2021-10-03 19:28:47
536,Colares,38.7992,-9.4469,64.29,64,0,8.99,PT,2021-10-03 19:28:48
537,Bestobe,52.4994,73.0975,36.03,94,100,7.9,KZ,2021-10-03 19:28:48
538,Westport,41.1415,-73.3579,79.75,57,1,5.01,US,2021-10-03 19:28:48
539,Tual,-5.6667,132.75,80.73,66,100,6.64,ID,2021-10-03 19:28:49
540,Lebork,54.5392,17.7501,60.93,56,100,15.28,PL,2021-10-03 19:28:49
541,Amapa,1.0,-52.0,95.09,33,100,4.47,BR,2021-10-03 19:28:49
