City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Gamba,GA,-2.65,10.0,76.05,83,100,6.98,overcast clouds
79,Ghanzi,BW,-21.5667,21.7833,60.13,13,0,9.6,clear sky
80,Salym,RU,60.0625,71.4789,28.31,95,98,7.0,overcast clouds
81,Yellowknife,CA,62.456,-114.3525,52.41,46,40,13.8,scattered clouds
82,Ostrovnoy,RU,68.0531,39.5131,44.29,85,18,21.61,few clouds
83,Barrow,US,71.2906,-156.7887,28.42,86,90,16.11,mist
84,Puerto Ayora,EC,-0.7393,-90.3518,76.96,79,31,11.48,scattered clouds
85,Palana,RU,59.1167,159.9667,36.99,92,100,32.55,light rain
86,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
87,Nome,US,64.5011,-165.4064,34.16,60,1,9.22,clear sky
88,Kapaa,US,22.0752,-159.319,80.58,91,90,13.8,moderate rain
89,Carbondale,US,37.7273,-89.2168,76.89,76,75,8.05,broken clouds
90,Gaza,PS,31.5,34.4667,75.18,62,100,8.5,overcast clouds
91,Tuatapere,NZ,-46.1333,167.6833,47.82,90,100,3.42,overcast clouds
92,Severo-Kuril'sk,RU,50.6789,156.125,47.73,77,78,32.19,broken clouds
93,Algiers,DZ,36.7525,3.042,73.09,63,17,3.42,few clouds
94,Pijijiapan,MX,15.7011,-93.23,85.46,73,65,4.63,broken clouds
95,Nikolskoye,RU,59.7035,30.7861,46.4,91,0,6.96,clear sky
96,Lüderitz,NA,-26.6481,15.1594,57.56,57,89,21.27,overcast clouds
97,Buala,SB,-8.145,159.5921,82.62,77,52,3.22,light rain
98,Taoudenni,ML,22.6783,-3.9836,95.77,9,69,10.25,broken clouds
99,Arrondissement du Havre,FR,49.5833,0.3333,52.57,84,6,11.52,clear sky
100,Kjøllefjord,NO,70.9457,27.3465,53.38,73,97,31.52,overcast clouds
101,Kyra,RU,49.5776,111.9753,29.68,88,66,3.96,broken clouds
102,Mataura,NZ,-46.1927,168.8643,47.48,83,100,8.55,overcast clouds
103,Hermanus,ZA,-34.4187,19.2345,53.91,71,60,9.71,light rain
104,Vardø,NO,70.3705,31.1107,51.55,78,98,27.76,overcast clouds
105,Nizhniy Kuranakh,RU,58.8353,125.4869,19.53,97,39,3.27,scattered clouds
106,Marihatag,PH,8.7936,126.2969,75.92,90,100,5.01,overcast clouds
107,Jumla,NP,29.2747,82.1838,52.97,89,44,3.02,scattered clouds
108,Erbil,IQ,36.1926,44.0106,76.82,22,0,3.44,clear sky
109,Bayonet Point,US,28.3267,-82.6834,88.99,75,100,1.99,overcast clouds
110,Oporapa,CO,2.0502,-75.9768,69.1,89,42,2.82,scattered clouds
111,Hemnesberget,NO,66.2333,13.6333,59.11,92,100,13.31,moderate rain
112,Marsabit,KE,2.3284,37.9899,70.47,54,100,12.21,overcast clouds
113,Saint-Louis,SN,16.3333,-15.0,91.04,36,64,8.72,broken clouds
114,Srednekolymsk,RU,67.45,153.6833,23.43,90,98,4.07,overcast clouds
115,Coyhaique,CL,-45.5752,-72.0662,49.95,53,75,4.61,broken clouds
116,Gorontalo,ID,0.5412,123.0595,75.81,93,100,3.31,overcast clouds
117,Kavaratti,IN,10.5669,72.642,81.41,79,100,10.87,light rain
118,Katsuura,JP,35.1333,140.3,69.91,77,4,8.61,clear sky
119,Lewistown,US,40.5992,-77.5714,74.82,91,86,2.77,overcast clouds
120,Waitati,NZ,-45.75,170.5667,46.42,95,100,9.62,light rain
121,Pangnirtung,CA,66.1451,-65.7125,37.29,72,85,1.81,overcast clouds
122,Isangel,VU,-19.55,169.2667,80.71,89,75,2.3,broken clouds
123,Beira,MZ,-19.8436,34.8389,78.89,89,75,4.61,broken clouds
124,Tucuruí,BR,-3.7661,-49.6725,81.45,71,99,1.03,overcast clouds
125,Carnarvon,AU,-24.8667,113.6333,59.07,82,0,9.22,clear sky
126,Haines Junction,CA,60.7522,-137.5108,37.35,65,100,12.66,light rain
127,Bandarbeyla,SO,9.4942,50.8122,78.78,81,75,22.01,broken clouds
128,Senneterre,CA,48.3835,-77.2328,62.82,66,12,4.32,few clouds
129,East London,ZA,-33.0153,27.9116,57.22,71,44,5.23,light rain
130,Puerto Escondido,MX,15.85,-97.0667,88.63,55,75,8.05,broken clouds
131,Hengshui,CN,37.7322,115.7011,60.69,77,100,13.89,overcast clouds
132,Meulaboh,ID,4.1363,96.1285,74.55,87,65,4.56,broken clouds
133,Waldoboro,US,44.0954,-69.3756,56.08,93,97,2.46,overcast clouds
134,Anantapur,IN,14.6833,77.6,79.34,72,18,5.01,few clouds
135,Bengkulu,ID,-3.8004,102.2655,74.28,91,97,3.47,overcast clouds
136,Hong Kong,HK,22.2855,114.1577,84.33,81,88,1.01,overcast clouds
137,Ous,RU,60.9058,61.5186,26.91,92,12,4.12,few clouds
138,Bijie,CN,27.3125,105.2942,64.0,87,49,12.19,scattered clouds
139,Te Anau,NZ,-45.4167,167.7167,46.76,97,100,2.04,overcast clouds
140,Qaanaaq,GL,77.484,-69.3632,29.25,96,100,7.0,overcast clouds
141,Itarema,BR,-2.9248,-39.9167,79.18,83,0,16.26,clear sky
142,Tofield,CA,53.3668,-112.6686,57.81,33,8,15.03,clear sky
143,Thompson,CA,55.7435,-97.8558,64.56,48,75,3.44,smoke
144,Constitución,CL,-35.3333,-72.4167,56.37,67,0,18.39,clear sky
145,Mahébourg,MU,-20.4081,57.7,72.25,83,40,11.5,scattered clouds
146,Kayerkan,RU,69.3497,87.7602,18.88,95,98,3.74,overcast clouds
147,Vung Tau,VN,10.346,107.0843,79.97,79,100,3.06,moderate rain
148,Voh,NC,-20.9667,164.7,82.36,64,12,5.48,few clouds
149,Kampot,KH,10.6167,104.1833,77.05,86,68,4.0,broken clouds
150,Maningrida,AU,-12.0667,134.2667,80.89,79,100,7.02,overcast clouds
151,Hokitika,NZ,-42.7167,170.9667,50.34,90,100,7.65,overcast clouds
152,Sainte-Suzanne,RE,-20.9061,55.6089,73.62,87,90,11.5,light rain
153,Chitral,PK,35.8462,71.7858,64.71,60,0,1.63,clear sky
154,Alofi,NU,-19.0595,-169.9187,76.89,88,74,14.97,light rain
155,Encheng,CN,22.1839,112.3026,74.7,96,86,3.51,overcast clouds
156,Codajás,BR,-3.8367,-62.0569,82.71,71,98,1.07,overcast clouds
157,Sobradinho,BR,-12.8333,-39.1,74.26,77,20,8.14,few clouds
158,Severodvinsk,RU,64.5635,39.8302,46.51,93,42,7.83,scattered clouds
159,Klaksvík,FO,62.2266,-6.589,49.12,88,100,26.96,overcast clouds
160,Ouango,CF,4.3133,22.5552,73.45,85,99,2.37,overcast clouds
161,Sambava,MG,-14.2667,50.1667,69.48,92,37,8.37,light rain
162,Kidal,ML,18.4411,1.4078,87.1,12,83,11.54,broken clouds
163,Port Hardy,CA,50.6996,-127.4199,50.18,76,75,9.22,light intensity shower rain
164,Faanui,PF,-16.4833,-151.75,78.78,72,34,9.66,scattered clouds
165,Norman Wells,CA,65.282,-126.8329,35.64,93,90,25.32,light rain and snow
166,Vangaindrano,MG,-23.35,47.6,68.54,94,25,6.58,scattered clouds
167,Bowen,AU,-20.0167,148.2333,75.42,84,15,9.22,few clouds
168,Sarangani,PH,5.4033,125.4636,80.98,82,100,12.75,overcast clouds
169,Dubai,AE,25.2582,55.3047,88.05,58,0,13.8,clear sky
170,Tekeli,KZ,44.83,78.8239,38.71,48,100,4.56,overcast clouds
171,Mildura,AU,-34.2,142.15,53.56,71,1,8.05,clear sky
172,Kathmandu,NP,27.7167,85.3167,68.22,94,75,2.3,broken clouds
173,Pevek,RU,69.7008,170.3133,24.42,91,100,5.03,overcast clouds
174,Westport,US,41.1415,-73.3579,75.34,65,75,3.0,broken clouds
175,Bonavista,CA,48.6499,-53.1147,55.11,88,92,11.61,overcast clouds
176,Vestmannaeyjar,IS,63.4427,-20.2734,46.63,80,78,6.91,broken clouds
177,Pisco,PE,-13.7,-76.2167,66.25,68,0,18.41,clear sky
178,Plouzané,FR,48.3833,-4.6167,55.58,85,0,11.5,clear sky
179,Narsaq,GL,60.9167,-46.05,41.22,65,0,4.68,clear sky
180,Talnakh,RU,69.4865,88.3972,17.33,97,97,0.58,overcast clouds
181,Camacha,PT,33.0833,-16.3333,71.53,88,40,8.05,scattered clouds
182,Lander,US,42.833,-108.7307,76.1,12,1,6.91,clear sky
183,Onega,RU,63.9061,38.1404,42.73,93,6,6.69,clear sky
184,Ojinaga,MX,29.5667,-104.4167,88.57,35,1,10.36,clear sky
185,Vila Velha,BR,-20.3297,-40.2925,78.75,83,0,18.41,clear sky
186,Hobyo,SO,5.3505,48.5268,78.28,88,43,18.07,scattered clouds
187,Buraidah,SA,26.326,43.975,84.65,13,8,7.83,clear sky
188,Butaritari,KI,3.0707,172.7902,82.42,68,89,18.77,overcast clouds
